%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.position0,field.position1,field.position2,field.position3,field.position4,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.effort0,field.effort1,field.effort2,field.effort3,field.effort4
5631388000000,281548,5631388000000,,end,joint2,joint4,joint6,motortom2m,0.6071747754729122,0.04613339202965694,-0.5406091402031441,-0.40228465266205404,0.28981432631677784,3.3769710761705924e-11,-6.136318624443558e-11,2.4356551842254687e-11,9.202690173154265e-11,-5.946608011393261e-11,0.0,0.0,0.0,0.0,0.0
5631408000000,281549,5631408000000,,end,joint2,joint4,joint6,motortom2m,0.6081747754728255,0.04620925993475922,-0.5414995761457249,-0.4029472051058125,0.2902913855013738,3.3809956179773584e-11,-6.144459542829488e-11,2.438944671111599e-11,9.214882365855978e-11,-5.954091409317093e-11,0.0,0.0,0.0,0.0,0.0
5631428000000,281550,5631428000000,,end,joint2,joint4,joint6,motortom2m,0.6091747754727859,0.04628512783986505,-0.5423900120883483,-0.40360975754960293,0.29076844468599194,3.3850138761857145e-11,-6.152592119374079e-11,2.4422303009097755e-11,9.227060629324407e-11,-5.961565019250196e-11,0.0,0.0,0.0,0.0,0.0
5631448000000,281551,5631448000000,,end,joint2,joint4,joint6,motortom2m,0.6101747754727356,0.0463609957449691,-0.5432804480309619,-0.40427230999338537,0.29124550387060566,3.389026066495343e-11,-6.160715960650076e-11,2.445512435486555e-11,9.239225268235897e-11,-5.969028465454417e-11,0.0,0.0,0.0,0.0,0.0
5631468000000,281552,5631468000000,,end,joint2,joint4,joint6,motortom2m,0.6111747754727528,0.046436863650079374,-0.5441708839736359,-0.4049348624372131,0.29172256305525135,3.393032037826852e-11,-6.168831307620015e-11,2.4487908316650547e-11,9.25137605837257e-11,-5.976481974719413e-11,0.0,0.0,0.0,0.0,0.0
5631488000000,281553,5631488000000,,end,joint2,joint4,joint6,motortom2m,0.6121747754727362,0.04651273155518698,-0.5450613199162788,-0.40559741488101597,0.29219962223988105,3.3970318944305597e-11,-6.176937957614747e-11,2.4520656684376333e-11,9.263513143432463e-11,-5.983925352618132e-11,0.0,0.0,0.0,0.0,0.0
5631508000000,281554,5631508000000,,end,joint2,joint4,joint6,motortom2m,0.6131747754728192,0.04658859946030347,-0.5459517558590097,-0.40625996732488634,0.2926766814245578,3.401025519945557e-11,-6.185036091315213e-11,2.455336759888001e-11,9.275636348920084e-11,-5.991358768909408e-11,0.0,0.0,0.0,0.0,0.0
5631528000000,281555,5631528000000,,end,joint2,joint4,joint6,motortom2m,0.6141747754729625,0.046664467365421736,-0.5468421918017956,-0.40692251976879756,0.293153740609263,3.405012973335166e-11,-6.193125596167593e-11,2.4586042050614463e-11,9.287745755711359e-11,-5.998782113617336e-11,0.0,0.0,0.0,0.0,0.0
5631548000000,281556,5631548000000,,end,joint2,joint4,joint6,motortom2m,0.6151747754732986,0.046740335270557765,-0.547732627744753,-0.4075850722128358,0.2936307997940615,3.4089942796523826e-11,-6.201206377382864e-11,2.4618680655208292e-11,9.299841387860175e-11,-6.006195297176341e-11,0.0,0.0,0.0,0.0,0.0
5631568000000,281557,5631568000000,,end,joint2,joint4,joint6,motortom2m,0.616174775473767,0.04681620317570179,-0.5486230636878275,-0.40824762465696285,0.2941078589789221,3.412969366787167e-11,-6.209278566577052e-11,2.465128215915975e-11,9.311923139898586e-11,-6.013598440468724e-11,0.0,0.0,0.0,0.0,0.0
5631588000000,281558,5631588000000,,end,joint2,joint4,joint6,motortom2m,0.6171747754744796,0.04689207108086535,-0.5495134996311215,-0.40891017710125066,0.2945849181639,3.416938284031211e-11,-6.217342041757422e-11,2.4683847511168283e-11,9.323991073598136e-11,-6.020991426884118e-11,0.0,0.0,0.0,0.0,0.0
5631608000000,281559,5631608000000,,end,joint2,joint4,joint6,motortom2m,0.6181747754753575,0.04696793898604135,-0.5504039355745611,-0.4095727295456477,0.2950619773489551,3.4209008805934e-11,-6.225397047541086e-11,2.4716374267156985e-11,9.336044966280576e-11,-6.028374486217375e-11,0.0,0.0,0.0,0.0,0.0
5631628000000,281560,5631628000000,,end,joint2,joint4,joint6,motortom2m,0.6191747754764938,0.04704380689123511,-0.5512943715182308,-0.4102352819902171,0.2955390365341346,3.4248573688437306e-11,-6.233443206925835e-11,2.4748865940417802e-11,9.348085119294766e-11,-6.035747257820284e-11,0.0,0.0,0.0,0.0,0.0
5631648000000,281561,5631648000000,,end,joint2,joint4,joint6,motortom2m,0.6201747754777953,0.04711967479644308,-0.5521848074620479,-0.4108978344348948,0.29601609571939314,3.4288075154324204e-11,-6.241480871637109e-11,2.478131888905941e-11,9.360111184721765e-11,-6.04311007586742e-11,0.0,0.0,0.0,0.0,0.0
5631668000000,281562,5631668000000,,end,joint2,joint4,joint6,motortom2m,0.6211747754793411,0.04719554270166881,-0.5530752434060826,-0.4115603868797342,0.2964931549047689,3.432751573298406e-11,-6.249509613523952e-11,2.4813737207688154e-11,9.372123525539501e-11,-6.050462529872746e-11,0.0,0.0,0.0,0.0,0.0
5631688000000,281563,5631688000000,,end,joint2,joint4,joint6,motortom2m,0.6221747754810245,0.04727141060690432,-0.5539656793502399,-0.4122229393246659,0.29697021409020863,3.4366892620524506e-11,-6.257529873511158e-11,2.484611644505825e-11,9.384121728009156e-11,-6.057805037753791e-11,0.0,0.0,0.0,0.0,0.0
5631708000000,281564,5631708000000,,end,joint2,joint4,joint6,motortom2m,0.6231747754829158,0.04734727851215936,-0.5548561152945819,-0.4128854917697353,0.2974472732757487,3.4406208427787507e-11,-6.265541188351774e-11,2.4878460924305496e-11,9.396106162628612e-11,-6.065137157602031e-11,0.0,0.0,0.0,0.0,0.0
5631728000000,281565,5631728000000,,end,joint2,joint4,joint6,motortom2m,0.6241747754848967,0.04742314641741707,-0.5557465512390038,-0.41354804421486335,0.29792433246133054,3.444546034920993e-11,-6.273544034851606e-11,2.491076602583617e-11,9.408076421066409e-11,-6.072459339155474e-11,0.0,0.0,0.0,0.0,0.0
5631748000000,281566,5631748000000,,end,joint2,joint4,joint6,motortom2m,0.6251747754870314,0.047499014322688105,-0.5566369871835626,-0.41421059666009263,0.2984013916469861,3.448465098958022e-11,-6.281537910919378e-11,2.4943036250595518e-11,9.42003286711497e-11,-6.079771105877312e-11,0.0,0.0,0.0,0.0,0.0
5631768000000,281567,5631768000000,,end,joint2,joint4,joint6,motortom2m,0.6261747754891953,0.0475748822279618,-0.5575274231281471,-0.41487314910534323,0.29887845083265585,3.452377835603509e-11,-6.289523160846516e-11,2.497526828118986e-11,9.431975210656628e-11,-6.087072781306041e-11,0.0,0.0,0.0,0.0,0.0
5631788000000,281568,5631788000000,,end,joint2,joint4,joint6,motortom2m,0.6271747754914472,0.04765075013324083,-0.5584178590728115,-0.41553570155065067,0.29935551001836735,3.456284287650597e-11,-6.297499690648364e-11,2.5007462883310977e-11,9.443903507260444e-11,-6.094364274102164e-11,0.0,0.0,0.0,0.0,0.0
5631808000000,281569,5631808000000,,end,joint2,joint4,joint6,motortom2m,0.6281747754936609,0.0477266180385163,-0.5593082950174404,-0.41619825399593413,0.299832569204062,3.460184457422623e-11,-6.305467459651613e-11,2.5039620231644614e-11,9.455817751168427e-11,-6.10164554487662e-11,0.0,0.0,0.0,0.0,0.0
5631828000000,281570,5631828000000,,end,joint2,joint4,joint6,motortom2m,0.6291747754958958,0.047802485943796214,-0.5601987309620879,-0.41686080644122914,0.3003096283897637,3.4640784205350666e-11,-6.31342633662174e-11,2.507174154041833e-11,9.467718047883982e-11,-6.108916465965481e-11,0.0,0.0,0.0,0.0,0.0
5631848000000,281571,5631848000000,,end,joint2,joint4,joint6,motortom2m,0.6301747754980234,0.04787835384906636,-0.5610891669066405,-0.41752335888645575,0.3007866875754166,3.467965943687289e-11,-6.321376686636823e-11,2.5103823109313016e-11,9.479604052402325e-11,-6.116177383029123e-11,0.0,0.0,0.0,0.0,0.0
5631868000000,281572,5631868000000,,end,joint2,joint4,joint6,motortom2m,0.6311747755001029,0.04795422175433295,-0.5619796028511512,-0.4181859113316495,0.3012637467610464,3.4718472903452566e-11,-6.329318052598026e-11,2.5135869256746215e-11,9.491476141191591e-11,-6.123427858810858e-11,0.0,0.0,0.0,0.0,0.0
5631888000000,281573,5631888000000,,end,joint2,joint4,joint6,motortom2m,0.6321747755020146,0.048030089659587105,-0.562870038795511,-0.41884846377673224,0.30174080594659536,3.4757222790196137e-11,-6.337250695379677e-11,2.5167877200110472e-11,9.503334040445642e-11,-6.130668141690076e-11,0.0,0.0,0.0,0.0,0.0
5631908000000,281574,5631908000000,,end,joint2,joint4,joint6,motortom2m,0.6331747755038224,0.04810595756483327,-0.5637604747397784,-0.4195110162217439,0.3022178651320955,3.479591021874996e-11,-6.345174436564156e-11,2.5199848685531662e-11,9.515177911787015e-11,-6.137898057634797e-11,0.0,0.0,0.0,0.0,0.0
5631928000000,281575,5631928000000,,end,joint2,joint4,joint6,motortom2m,0.6341747755054561,0.04818182547006522,-0.5646509106838913,-0.4201735686666428,0.3026949243175112,3.483453405974333e-11,-6.353089418851304e-11,2.523178206201242e-11,9.527007580941164e-11,-6.145117742392982e-11,0.0,0.0,0.0,0.0,0.0
5631948000000,281576,5631948000000,,end,joint2,joint4,joint6,motortom2m,0.6351747755068509,0.04825769337527941,-0.5655413466277919,-0.4208361211113836,0.30317198350281416,3.487309422737009e-11,-6.360995662612969e-11,2.5263677129873387e-11,9.538823033593635e-11,-6.152327211569417e-11,0.0,0.0,0.0,0.0,0.0
5631968000000,281577,5631968000000,,end,joint2,joint4,joint6,motortom2m,0.6361747755080867,0.04833356128048205,-0.5664317825715495,-0.4214986735560178,0.3036490426880434,3.49115918391819e-11,-6.36889293705369e-11,2.5295535869821237e-11,9.550624420845283e-11,-6.159526245804499e-11,0.0,0.0,0.0,0.0,0.0
5631988000000,281578,5631988000000,,end,joint2,joint4,joint6,motortom2m,0.6371747755090631,0.048409429185665154,-0.5673222185150779,-0.42216122600048056,0.3041261018731456,3.495002545152966e-11,-6.376781469383783e-11,2.532735597593061e-11,9.562411528852835e-11,-6.166715058576397e-11,0.0,0.0,0.0,0.0,0.0
5632008000000,281579,5632008000000,,end,joint2,joint4,joint6,motortom2m,0.6381747755098734,0.04848529709083582,-0.5682126544584563,-0.4228237784448323,0.30460316105816787,3.4988396419384e-11,-6.384661010778773e-11,2.5359139712971686e-11,9.574184546566937e-11,-6.17389341192178e-11,0.0,0.0,0.0,0.0,0.0
5632028000000,281580,5632028000000,,end,joint2,joint4,joint6,motortom2m,0.6391747755104316,0.04856116499598695,-0.5691030904016126,-0.4234863308890189,0.3050802202430729,3.502670259046583e-11,-6.392531919401101e-11,2.539088356848855e-11,9.585943159603934e-11,-6.181061643008073e-11,0.0,0.0,0.0,0.0,0.0
5632048000000,281581,5632048000000,,end,joint2,joint4,joint6,motortom2m,0.6401747755108476,0.04863703290112742,-0.569993526344641,-0.4241488833331104,0.30555727942790867,3.506494658119428e-11,-6.400393710422903e-11,2.5422591971508033e-11,9.597687736066232e-11,-6.1882192908244e-11,0.0,0.0,0.0,0.0,0.0
5632068000000,281582,5632068000000,,end,joint2,joint4,joint6,motortom2m,0.6411747755110548,0.0487129008062519,-0.5708839622874837,-0.4248114357770634,0.30603433861264495,3.5103126767286566e-11,-6.408246647554095e-11,2.5454262292155932e-11,9.609418036492021e-11,-6.195366603470266e-11,0.0,0.0,0.0,0.0,0.0
